orgnr,navn,web,stiftet,enhkode,enhtype_beskr,sektorkode,naeringskode,postnr,error_msg
986466401,FRODE AGA KULTUR OG MEDIA,www.frodeaga.no,null,ENK,Enkeltpersonforetak,8200,90.034,null,429
992191643,SKREIEN HAVFISKE AS,www.skreien-havfiske.com,null,BEDR,Underenhet næringsdr./off.forv,null,50.109,null,429
995443309,REC FILM,www.recfilm.no,null,ENK,Enkeltpersonforetak,8200,59.110,null,429
974626810,SØRVIK SKOLE,www.sorvik.gs.tr.no/,null,BEDR,Bedrift,null,85.201,9479,429
997187237,TOM ERIK CALDINO NICOLAYSEN,tomcaldino.photo,null,ENK,Enkeltpersonforetak,8200,74.200,null,429
986000224,REIDUN HVATTUM,www.bondegarden.com,null,ENK,Enkeltpersonforetak,8200,68.209,null,429
995505576,BERGEN PSYKOLOGI TANJA NOTØ,www.bergenpsykologi.no,null,ENK,Enkeltpersonforetak,8200,86.905,null,429
913132297,KARASJOGA EALAHUSSEARVI,www.ikarasjok.com,null,AAFY,Ikkenæringsdrivende virksomhet,null,94.991,9735,429
990256152,SAMEIET TOPPEN,www.arendalboligbyggerlag.no,2006-04-25,ESEK,Eierseksjonssameie,null,null,null,429
976991478,KROKEN SOKN,www.drangedal.kyrkje.no,null,KIRK,Den norske kirke,6500,94.910,3750,429
916761171,NORSKE AKSJEANALYSER AS,www.norskeanalyser.no,null,BEDR,Bedrift,null,66.190,null,429
928073475,NETTKOP ENDREGAARD,Nettcoop.no,null,ENK,Enkeltpersonforetak,8200,47.919,null,429
998609615,DAAE PORTRETT,daaeportrett.no,null,ENK,Enkeltpersonforetak,8200,90.031,null,429
985294402,SIGNALER Børge Jensen,www.signaler.info,null,ENK,Enkeltpersonforetak,8200,71.129,null,429
913561759,AVIATIONPLUS NORWAY AS,www.aviationplus.aero,2014-04-10,AS,Aksjeselskap,2100,52.293,null,429
998863201,FYSIOTERAPI 0-100 DA,www.0-100.no,null,BEDR,Bedrift,null,86.902,null,429
989022946,ATOM AS,www.atom.as,2005-11-19,AS,Aksjeselskap,2100,73.110,null,429
914540054,FOLLAFOSS SJØSPORTSFORENING,www.follafoss.com,1978-04-12,FLI,Forening/lag/innretning,7000,93.120,null,429
928679535,BOÄNGES BYGG,www.boanges.se,null,BEDR,Underenhet næringsdr./off.forv,null,43.320,null,429
989528211,SAMEIET ROSENLUNDGATA 15,www.sefbo.no,1988-05-03,ESEK,Eierseksjonssameie,null,null,1369,429
928899810,KVIA IT-KONSULENT,www.linkedin.com/in/johan-kvia/,null,ENK,Enkeltpersonforetak,8200,62.020,null,429
994785168,NORSK ORNITOLOGISK FORENING,www.birdlife-troms.no/,1998-01-01,FLI,Forening/lag/innretning,7000,94.991,9305,429
914270812,ILIFT MARINE AS,www.i-lift.no,2014-09-22,AS,Aksjeselskap,2100,28.229,658,429
943438102,CENTRAGRUPPEN AS,www.centragruppen.no,1986-12-23,AS,Aksjeselskap,2100,68.209,121,429
981693507,ART OF LIVING - NORGE,www.artofliving.no,1999-12-15,FLI,Forening/lag/innretning,7000,85.599,502,429
914600367,HEGGEDAL IDRETTSFORENING,heggedal.idrettsforening.no,1999-10-06,FLI,Forening/lag/innretning,7000,93.120,null,429
991421645,TANG & JACOBSEN AS,www.t-j.no,2007-06-22,AS,Aksjeselskap,2100,81.210,4817,429
928199479,TORSTEIN KJENNE,torsteinkjenne.net,null,BEDR,Underenhet næringsdr./off.forv,null,74.101,null,429
982082994,RETORISK INSTITUTT AS,www.retoriskinstitutt.no,2000-05-23,AS,Aksjeselskap,2100,85.599,null,429
912245772,ROLIGHEDEN FERIELEILIGHETER AS,www.sorsecure.no,null,BEDR,Underenhet næringsdr./off.forv,null,68.209,null,429
892387362,ORACLE FRANCE,www.oracle.no,null,UTLA,Utenlandsk enhet,null,null,null,429
980610160,MOMENTOR ANS,www.momentor.no,null,BEDR,Bedrift,null,63.120,null,429
871831572,NORDIC GROUP AS,www.nordicgroup.no,null,BEDR,Bedrift,null,46.381,7401,429
987818549,SET ELEKTRO AS,www.set.no,2005-01-07,AS,Aksjeselskap,2100,43.210,null,429
822760422,DIAMOND TECH AS,www.diamondtech.no,2019-04-26,AS,Aksjeselskap,2100,46.620,null,429
911752832,ONETRAFFIC NORWAY AS,www.onetraffic.com,null,BEDR,Bedrift,null,62.010,null,429
976994418,ARNA SOKN,kyrkja.no/arna,null,KIRK,Den norske kirke,6500,94.910,null,429
985891826,TBB AS,www.bibbisfrisor.no,2003-05-30,AS,Aksjeselskap,2100,96.020,null,429
984659342,NORSK BERGFORENING,www.norskbergforening.no,2000-10-06,FLI,Forening/lag/innretning,7000,94.991,7491,429
984963890,ORKEL AS,www.orkel.no,2002-08-13,AS,Aksjeselskap,2100,28.300,7320,429
985993750,LAKSEVÅG RØDE KORS,www.rodekors.no/laksevag,1945-10-25,FLI,Forening/lag/innretning,7000,88.995,null,429
988682519,FANTEFILM FIKSJON AS,www.fantefilm.no,2005-09-16,AS,Aksjeselskap,2100,59.110,null,429
995143011,COPYWRITER,www.copywriter.no,null,BEDR,Bedrift,null,90.034,null,429
996653153,EQUIRAD AS,www.equirad.no,null,BEDR,Bedrift,null,86.909,null,429
973442104,YSST HMS,www.ysst.no,null,BEDR,Bedrift,null,86.904,null,429
997827651,PASSIV ENERGI AS,Www.passivenergi.no,null,BEDR,Bedrift,null,43.222,null,429
993620866,TRETTEN SKISKYTTERLAG,idrett.speaker.no/organisation.asp?orgelementid=66986,1981-11-27,FLI,Forening/lag/innretning,7000,93.120,null,429
993086975,UV5 - OSLO KUNSTSENTER,www.uv5.no,2008-09-12,FLI,Forening/lag/innretning,7000,90.040,null,429
997602501,FUTURE FOR ALL INTERNATIONAL,www.futureforall.no,2011-11-11,FLI,Forening/lag/innretning,7000,94.991,null,429
974052091,STRAUMAN OPPVEKSTSENTER,svein.hansen@vagan.kommune.no,null,BEDR,Bedrift,null,88.911,8301,429
916604157,TENT FORSIKRING AS,www.tentforsikring.no,2016-01-05,AS,Aksjeselskap,4900,66.290,4340,429
993591564,NAPP SKYTTERLAG,napp-skytterlag.net,1901-06-21,FLI,Forening/lag/innretning,7000,93.120,8382,429
913406303,FILMBROS AS,www.filmbros.no,2014-03-17,AS,Aksjeselskap,2100,59.110,null,429
976675037,STAD KULTURSKULE,www.kulturskulen.no,null,BEDR,Bedrift,null,85.521,6770,429
994202537,CAMILLA SÆLE MERKESVIK,www.myspac.com/camillamerkesvik,null,ENK,Enkeltpersonforetak,8200,90.011,457,429
912516040,KONOWS TOTAL AS,www.ensjobilpleie.no,2013-08-27,AS,Aksjeselskap,2100,45.200,null,429
824608652,HOLTE PROFILERING,www.holtehobytrykk.com,null,BEDR,Underenhet næringsdr./off.forv,null,13.300,null,429
919816562,MY UGLY BABY AS,talorjorgen.no,null,BEDR,Underenhet næringsdr./off.forv,null,56.101,101,429
924429216,FABMACH.IO AS,www.fabmach.io,2020-01-01,AS,Aksjeselskap,2100,71.129,null,429
983415830,INTERPRESS NORGE AS,www.interpress-no.no,2001-05-28,AS,Aksjeselskap,2100,46.491,2001,429
991174842,LYSAKER BRYGGE TANNKLINIKK AS,www.lysakerbryggetannklinikk.no,null,BEDR,Bedrift,null,86.230,null,429
995839091,KOLEKTOR ETRA ENERGETSKI,www.etra33.si,1977-03-31,UTLA,Utenlandsk enhet,null,null,null,429
989388495,TSMARINE NORGE,www.tsmarine.net,null,NUF,Norskreg. utenlandsk foretak,2100,09.109,null,429
990718997,LOGENT AS,orcus.no,null,BEDR,Bedrift,null,78.200,null,429
988684554,IMENTE JUSS & REGNSKAP AS,www.imente-regnskap.no,null,BEDR,Bedrift,null,69.201,null,429
914984467,VASSVØRI SOGELAG,www.vassvori.sogelag.org,1993-09-05,FLI,Forening/lag/innretning,7000,94.991,null,429
990111499,GISKE GOLFKLUBB,www.giskegolf.no,1999-08-12,FLI,Forening/lag/innretning,7000,93.120,null,429
997842049,CATHRYN PRIMROSE-MATHISEN,www.cathrynprimrose.com,null,ENK,Enkeltpersonforetak,8200,74.300,null,429
983396232,FRUKT & LUNCH COMPAGNIET AS,www.fruktoglunch.no,null,BEDR,Bedrift,null,56.210,null,429
933446034,H E D KARMØY AS,www.hed.no,1982-11-01,AS,Aksjeselskap,2100,46.693,null,429
989296639,BUBBA4U.NO,www.bubba4u.no,null,BEDR,Bedrift,null,46.450,2403,429
922608245,GOD MORGEN OSLO,www.godmorgenoslo.no,2019-03-01,FLI,Forening/lag/innretning,7000,60.100,null,429
994775588,KVINNHERAD SOGELAG,www.kvinnheradsogelag.no,1982-12-31,FLI,Forening/lag/innretning,7000,94.991,null,429
985909644,LUXURY TRAVEL Runar Skoie Grøndahl,www.TheDailyValium.com,null,ENK,Enkeltpersonforetak,8200,79.909,null,429
994629646,DAESIGN AS,www.daesign.no,2009-09-01,AS,Aksjeselskap,2100,73.110,null,429
989939181,JOACHIM LANGE,www.uppard-lloyd.com,null,BEDR,Bedrift,null,85.510,750,429
939240772,MATCH AS,www.fransabergen.no,1985-11-11,AS,Aksjeselskap,2100,47.710,null,429
919556404,BODØ SERVICE OG VEDLIKEHOLD AS,grunnbetong.no,2017-08-01,AS,Aksjeselskap,2100,41.200,null,429
893789162,TJENSVOLL SKOLEKORPS,www.linksidene.no/minskole/Tjensvoll,1949-01-01,FLI,Forening/lag/innretning,7000,90.032,null,429
976577825,BUSKERUD ZOO MONTASJE Frode Sjøberg,www.buskerudzoomontasje.no,null,ENK,Enkeltpersonforetak,8200,32.990,null,429
982901332,TVERLI SJÅFØR & MONTØR,www.tverli.com,null,BEDR,Bedrift,null,49.410,null,429
985119600,DENAMED AS,www.denamed.no,null,BEDR,Bedrift,null,46.460,601,429
977001013,KANEBOGEN SOKN,www.kiha.no/,null,KIRK,Den norske kirke,6500,94.910,null,429
994109863,FAGERNES-ØRA VELFORENING,kvitsandora.no,1947-07-01,FLI,Forening/lag/innretning,7000,94.991,8514,429
994448293,MULTIARENA AS,www.multiarena.no,null,BEDR,Bedrift,null,77.390,null,429
976997182,HJØRUNDFJORD SOKN,www.iKyrkja.no,null,KIRK,Den norske kirke,6500,94.910,null,429
992990813,MACAW RESEARCH Jon-Fredrik S Østmoe,www.macawresearch.com,null,ENK,Enkeltpersonforetak,8200,70.220,null,429
911893029,LYD FRA GJØVIK,lydfragjovik.no,2013-04-25,FLI,Forening/lag/innretning,7000,90.020,null,429
986963979,BORETTSLAGET FREDENSBORGVEIEN 9,www.obf.no,2004-06-10,BRL,Borettslag,8300,68.201,402,429
974449609,BYGGMESTEREN VEST AS,www.byggmesteren.no,null,BEDR,Bedrift,null,41.200,5847,429
971381175,ÅFJORD IDRETTSLAG,www.afjordil.no,1923-12-31,FLI,Forening/lag/innretning,7000,93.120,null,429
885243002,ADVOKAT NILS HÅKON GRØHOLDT,www.groholdt.no,null,ENK,Enkeltpersonforetak,8200,69.100,null,429
976182391,SPORT & FRITID -- GORETEX SERVICE,www.goretexservice.no,null,ENK,Enkeltpersonforetak,8200,47.710,null,429
998091969,MACHINE BIRDS DA,www.machinebirds.no,null,BEDR,Bedrift,null,90.011,null,429
917306869,PSUPPLY AS,www.psupply.no,null,BEDR,Bedrift,null,78.200,8603,429
987948027,SKJELLMANNEN AS,www.topthefjords.com,null,BEDR,Bedrift,null,46.381,null,429
994795686,HOLSÅSEN STI OG LØYPENEMND,www.holsaasen.no,2006-01-01,FLI,Forening/lag/innretning,7000,93.110,3576,429
923545921,AGGREKO NORWAY AS,www.aggreko.no,1976-12-15,AS,Aksjeselskap,2100,77.390,null,429
992710624,FUTURO CON DIOS,www.skotselv.org/futurocondios,2007-09-09,FLI,Forening/lag/innretning,7000,94.910,null,429
914247993,KURVE,kurve.no,2014-02-03,FLI,Forening/lag/innretning,7000,90.011,null,429
996356876,DR. DIAKO HAMEDI,www.Medicohelsesenter.no,null,ENK,Enkeltpersonforetak,8200,86.211,null,429
914605210,A.JANKAUSKAS/ARTJAN DESIGN,www.artjan.com,null,ENK,Enkeltpersonforetak,8200,73.110,null,429
996062007,NÆRING I YTRE NAMDAL IKS,nyn.no,null,BEDR,Bedrift,null,84.130,7901,429
986108785,SOLLIE FORLAG,sollieforlag.no,null,ENK,Enkeltpersonforetak,8200,47.919,null,429
997258592,ELEXIR PHARMA CAPITAL NORGE,www.elexirpharma.no,null,BEDR,Bedrift,null,46.389,null,429
979926847,MARI SÆTHER HESTFLÅTT,www.sandnes-skysstasjon.no,null,ENK,Enkeltpersonforetak,8200,01.420,null,429
988757799,CONTROLDATA ANS,www.controldata.no,2005-10-01,ANS,Ansvarlig selskap (ANS),2300,47.410,612,429
985906556,BRURÅS GAARD RUNE BRURÅS,brucon.com,null,ENK,Enkeltpersonforetak,8200,02.200,null,429
922722722,JENNY EMILIE ØSTLI,www.jenoestli.com,null,ENK,Enkeltpersonforetak,8200,74.200,null,429
994623788,PCSUPPORT247 Anders Oma Lier,www.pcsupport247.com,null,ENK,Enkeltpersonforetak,8200,62.090,null,429
988231517,PULSE COMMUNICATIONS AS,www.pulscom.no,null,BEDR,Bedrift,null,73.110,null,429
981083415,STORVESTRE MEDICAL,www.storvestre.com,null,ENK,Enkeltpersonforetak,8200,86.211,1713,429
994049178,LANDSFORBUNDET MOT STOFF AVDELING,motstoff.no,1981-01-01,FLI,Forening/lag/innretning,7000,88.995,null,429
921711182,ACNIELSEN NORGE AS,www.no.nielsen.com,1976-04-26,AS,Aksjeselskap,2100,73.200,null,429
992708131,LOGOPED LINDA STEINSLAND MNLL,ab-logopedi.com,null,ENK,Enkeltpersonforetak,8200,86.909,null,429
976988205,SJØLI SOKN,www.rendalenkirke.com,null,KIRK,Den norske kirke,6500,94.910,null,429
915961606,PER KRISTIAN SUNDET,www.persundet.com,null,ENK,Enkeltpersonforetak,8200,59.200,null,429
991500456,DBWATCH AS,www.dbwatchsoftware.com,2007-06-01,AS,Aksjeselskap,2100,58.290,null,429
993460656,VESTRE GRIMSØY VANN- OG,www.vgva.no,2008-09-20,SA,Samvirkeforetak,2100,37.000,1747,429
926388789,EVGENIA BEKTASOVA,walkinglinguist.wordpress.com,null,BEDR,Underenhet næringsdr./off.forv,null,90.034,null,429
985427011,FAGLIG RÅD FOR OPPLÆRING OG,www.frosio.no,1998-01-31,FLI,Forening/lag/innretning,7000,94.991,307,429
991675078,SANTÈ AS,www.santè.com,2007-06-26,AS,Aksjeselskap,2100,86.909,null,429
991967230,ELISABETH COSMETIC,www.elisabeth.holmedal.marykaynorway.no,null,ENK,Enkeltpersonforetak,8200,47.990,null,429
980580601,CEPHEUS AS,www.musikkshoppen.no,1998-12-15,AS,Aksjeselskap,2100,70.220,null,429
992036354,OKSVAL VEL,www.oksval.no,2007-11-01,FLI,Forening/lag/innretning,7000,68.320,1451,429
976987640,KONGSVINGER KIRKELIGE FELLESRÅD,www.kongsvinger.kirken.no/,null,KIRK,Den norske kirke,6500,94.910,null,429
915586813,GNIST FILM AS,gnistfilm.no,2015-06-01,AS,Aksjeselskap,2100,59.110,null,429
992964553,BYGGKOMPETANSE KAI VARDEHEIM,www.vardeheim.no,null,BEDR,Bedrift,null,71.121,null,429
811759562,HMSUNDT AS,www.lynxmedisinske.no,2013-03-18,AS,Aksjeselskap,2100,86.211,null,429
979196237,UNDERBAKKE 8 AS,www.underbakke.as,1997-08-28,AS,Aksjeselskap,2100,77.320,null,429
890324142,LAVERIA MARINA KHANAM RASOOL,Www.laveria.no,null,ENK,Enkeltpersonforetak,8200,96.040,null,429
980693805,SOLLIA BORETTSLAG,boligklubb.no,1999-03-23,BRL,Borettslag,8300,68.201,9291,429
995991268,TRØKK REKLAMEBYRÅ Tage Foss Hansen,trokkreklamebyra.no,null,ENK,Enkeltpersonforetak,8200,62.010,null,429
927944359,SIFJORD UTVIKLING BJØRNBAKK,janmb.instagram.com,null,BEDR,Underenhet næringsdr./off.forv,null,41.109,null,429
973951025,VOSS PARKERING AS,www.vossparkering.no,null,BEDR,Bedrift,null,52.212,null,429
821419352,GRANVOLL-BIGARD OTTAR HRAFN,granvoll-bigård.no,null,ENK,Enkeltpersonforetak,8200,01.490,null,429
989996819,GO SUBCONSCIOUS MARITA MARCOLONGO,gosubconscious.com,null,ENK,Enkeltpersonforetak,8200,85.599,null,429
824508062,BUSLAND OÜ,www.busland.ee,null,NUF,Norskreg. utenlandsk foretak,null,45.200,103,429
987288345,REN GLEDE Villen Hernes,www.renglede.no,null,ENK,Enkeltpersonforetak,8200,20.410,null,429
987354623,BATNFJORD KRO & MOTELL AS,www.batnfjord.com,2004-09-27,AS,Aksjeselskap,2100,96.090,754,429
914152275,SØNDRE TÅSEN GÅRD AS,www.søndretåsengård.no,2014-08-25,AS,Aksjeselskap,2100,68.209,123,429
971506857,MASKINBUTIKK AS,www.tosalg.no,1994-11-21,AS,Aksjeselskap,2100,25.620,null,429
985745145,FINN WALAKER,www.walakernorge.com,null,ENK,Enkeltpersonforetak,8200,43.210,null,429
985275882,HJEMMESITTERNE Reidulf Wasenius,www.hjemmesitterne.no,null,ENK,Enkeltpersonforetak,8200,62.020,null,429
997556879,NJÅGARDEN GJESTEGARD AS,www.njaagarden.no,2011-11-01,AS,Aksjeselskap,2100,56.101,4355,429
915892000,SMØR PÅ FLESK EBBE DAM MEINILD,www.sideflesk.no,null,ENK,Enkeltpersonforetak,8200,01.130,null,429
986122079,HAAKONSEN 404 IT SUPPORT,www.404it.no,null,ENK,Enkeltpersonforetak,8200,62.020,null,429
918538224,MATFATET JÆREN,matfatetjaren.no,2017-01-18,FLI,Forening/lag/innretning,7000,94.991,null,429
997089030,EMILIE TVERBAK,www.emilietverbak.no,null,ENK,Enkeltpersonforetak,8200,90.012,null,429
920136133,ANETTE LIE AS,anettelie.no,null,BEDR,Bedrift,null,96.090,null,429
996756416,VOSS KJØKKENSENTER AS,www.vosskjokkensenter.no,null,BEDR,Bedrift,null,47.599,null,429
995619636,SIRDAL HUSKYFARM AS,www.kvinen.no,null,BEDR,Bedrift,null,79.903,null,429
893760342,MARTES BRYGGERHUS Marte Hannemyr,www.martes-bryggerhus.com,null,BEDR,Bedrift,null,23.410,null,429
820586832,FORUM BYGG AS,forumbygg.no,null,BEDR,Bedrift,null,41.200,null,429
994117130,KÅRVIKHAMN IDRETTSLAG,www.n3sport.no/fotball/Kårvikhamn,1975-06-20,FLI,Forening/lag/innretning,7000,93.120,null,429
980132420,ORDO AB CHAO MARK FRANCOMBE,www.ordoabkhao.com,null,ENK,Enkeltpersonforetak,8200,90.031,null,429
913830016,WERSYSTEM CZERWINSKI,www.wersystem.no,null,BEDR,Underenhet næringsdr./off.forv,null,43.320,null,429
976831055,VINNES FRISKULE,vinnes-friskule.no,null,BEDR,Bedrift,null,85.201,null,429
911996820,KJETIL ANDERSEN,www.gardnos.com,null,ENK,Enkeltpersonforetak,8200,93.292,null,429
994635549,MERCURA AS,www.mercura.no,null,BEDR,Bedrift,null,70.220,2601,429
914541654,CARLOS KAFFE AS,www.hoscarlos.no,null,BEDR,Bedrift,null,56.101,5550,429
926458566,NOR-TRAPP DRAMMEN THOMAS WØIEN,NOR-TRAPP.NO,null,ENK,Enkeltpersonforetak,8200,43.320,null,429
893957162,RANA FOTOKLUBB,www.ranafotoklubb.no,1990-07-24,FLI,Forening/lag/innretning,7000,94.991,8604,429
971322829,FFO VESTFOLD OG TELEMARK,www.ffotelemark.no,1995-02-20,FLI,Forening/lag/innretning,7000,88.995,null,429
994649787,INTERKULTURELT FORUM,www.forumlatinamerika.no,2009-10-12,FLI,Forening/lag/innretning,7000,94.991,590,429
994660691,VESTAVIND OFFSHORE AS,www.vestavindoffshore.no,null,BEDR,Underenhet næringsdr./off.forv,null,35.112,5020,429
991236988,KIBU AS,www.kibu.no,2007-04-24,AS,Aksjeselskap,2100,70.220,null,429
982340233,HELST HOLST,christeriania.no,null,ENK,Enkeltpersonforetak,8200,59.200,null,429
982494737,PECON FACILITY SERVICES AS,www.peconfs.no,2000-09-26,AS,Aksjeselskap,2100,81.101,null,429
